function,optimizer,noise_sigma,lr,SEE,half_CI
Himmelblau,GD_fixed,0.0,0.1,0.9615384968074834,0.02532111781225549
Himmelblau,Adam,0.0,0.1,0.06983240372284626,0.0004879894180054231
Himmelblau,RMSProp,0.0,0.1,0.5,0.0
Himmelblau,AdaGrad,0.0,0.1,0.02161928390245624,0.0001530624847098181
Himmelblau,GD_fixed,0.01,0.1,0.9615384968074834,0.02532111781225549
Himmelblau,Adam,0.01,0.1,0.06983240372284626,0.0004879894180054231
Himmelblau,RMSProp,0.01,0.1,0.5,0.0
Himmelblau,AdaGrad,0.01,0.1,0.02161928390245624,0.00015424397887981584
Himmelblau,GD_fixed,0.1,0.1,0.9615384968074834,0.02532111781225549
Himmelblau,Adam,0.1,0.1,0.06983240372284626,0.0004879894180054231
Himmelblau,RMSProp,0.1,0.1,0.5,0.0
Himmelblau,AdaGrad,0.1,0.1,0.021623959846402443,0.00015431068967801213
Himmelblau,GD_fixed,0.5,0.1,0.9523809956314903,0.027286452215294743
Himmelblau,Adam,0.5,0.1,0.06983240372284626,0.00048768022222612367
Himmelblau,RMSProp,0.5,0.1,0.5,0.0
Himmelblau,AdaGrad,0.5,0.1,0.021614611762509717,0.00015411438292443382
Rosenbrock,GD_fixed,0.0,0.1,0.5633802892574833,0.02384737678855331
Rosenbrock,Adam,0.0,0.1,0.0,0.0
Rosenbrock,RMSProp,0.0,0.1,0.015,0.01125
Rosenbrock,AdaGrad,0.0,0.1,0.0,0.0
Rosenbrock,GD_fixed,0.01,0.1,0.5633802892574833,0.02384737678855331
Rosenbrock,Adam,0.01,0.1,0.0,0.0
Rosenbrock,RMSProp,0.01,0.1,0.015,0.01125
Rosenbrock,AdaGrad,0.01,0.1,0.0,0.0
Rosenbrock,GD_fixed,0.1,0.1,0.5617977618388555,0.023713352989068126
Rosenbrock,Adam,0.1,0.1,0.0,0.0
Rosenbrock,RMSProp,0.1,0.1,0.015,0.01125
Rosenbrock,AdaGrad,0.1,0.1,0.0,0.0
Rosenbrock,GD_fixed,0.5,0.1,0.5602241001117629,0.022855881842972214
Rosenbrock,Adam,0.5,0.1,0.0,0.0
Rosenbrock,RMSProp,0.5,0.1,0.015,0.01125
Rosenbrock,AdaGrad,0.5,0.1,0.0,0.0
Ackley_2D,GD_fixed,0.0,0.1,0.0,0.0
Ackley_2D,Adam,0.0,0.1,0.0,0.0
Ackley_2D,RMSProp,0.0,0.1,0.001,0.0015
Ackley_2D,AdaGrad,0.0,0.1,0.0,0.0
Ackley_2D,GD_fixed,0.01,0.1,0.0,0.0
Ackley_2D,Adam,0.01,0.1,0.0,0.0
Ackley_2D,RMSProp,0.01,0.1,0.00125,0.001875
Ackley_2D,AdaGrad,0.01,0.1,0.0,0.0
Ackley_2D,GD_fixed,0.1,0.1,0.0,0.0
Ackley_2D,Adam,0.1,0.1,0.0,0.0
Ackley_2D,RMSProp,0.1,0.1,0.0,0.0
Ackley_2D,AdaGrad,0.1,0.1,0.0,0.0
Ackley_2D,GD_fixed,0.5,0.1,0.0,0.0
Ackley_2D,Adam,0.5,0.1,0.0,0.0
Ackley_2D,RMSProp,0.5,0.1,0.006153846153846154,0.006858065953654178
Ackley_2D,AdaGrad,0.5,0.1,0.0,0.0
Rastrigin,GD_fixed,0.0,0.1,0.8583691268190418,0.0406143848766799
Rastrigin,Adam,0.0,0.1,0.0,0.0
Rastrigin,RMSProp,0.0,0.1,0.465894139601263,0.013078130806661425
Rastrigin,AdaGrad,0.0,0.1,0.0,0.0
Rastrigin,GD_fixed,0.01,0.1,0.8583691268190418,0.0406143848766799
Rastrigin,Adam,0.01,0.1,0.0,0.0
Rastrigin,RMSProp,0.01,0.1,0.46480048639227617,0.013353139659287278
Rastrigin,AdaGrad,0.01,0.1,0.0,0.0
Rastrigin,GD_fixed,0.1,0.1,0.8547008860510964,0.040267227967420216
Rastrigin,Adam,0.1,0.1,0.0,0.0
Rastrigin,RMSProp,0.1,0.1,0.465894139601263,0.012990105869362861
Rastrigin,AdaGrad,0.1,0.1,0.0,0.0
Rastrigin,GD_fixed,0.5,0.1,0.8695652354191746,0.037878787878787845
Rastrigin,Adam,0.5,0.1,0.0,0.0
Rastrigin,RMSProp,0.5,0.1,0.4634042318118769,0.013398424671200226
Rastrigin,AdaGrad,0.5,0.1,0.0,0.0
Levy,GD_fixed,0.0,0.1,0.0,0.0
Levy,Adam,0.0,0.1,0.0,0.0
Levy,RMSProp,0.0,0.1,0.0,0.0
Levy,AdaGrad,0.0,0.1,0.0,0.0
Levy,GD_fixed,0.01,0.1,0.0,0.0
Levy,Adam,0.01,0.1,0.0,0.0
Levy,RMSProp,0.01,0.1,0.0,0.0
Levy,AdaGrad,0.01,0.1,0.0,0.0
Levy,GD_fixed,0.1,0.1,0.0,0.0
Levy,Adam,0.1,0.1,0.0,0.0
Levy,RMSProp,0.1,0.1,0.0,0.0
Levy,AdaGrad,0.1,0.1,0.0,0.0
Levy,GD_fixed,0.5,0.1,0.0,0.0
Levy,Adam,0.5,0.1,0.0015130889750158305,0.000758700992046477
Levy,RMSProp,0.5,0.1,0.03833483148840145,0.00778620609650622
Levy,AdaGrad,0.5,0.1,0.0,0.0
