function,opt1,opt2,p_value,r,sig
Himmelblau,GD_fixed,Adam,0.0,1.0,***
Himmelblau,GD_fixed,RMSProp,1.0,0.0,ns
Himmelblau,GD_fixed,AdaGrad,0.0,1.0,***
Himmelblau,Adam,RMSProp,0.0,-1.0,***
Himmelblau,Adam,AdaGrad,0.0,1.0,***
Himmelblau,RMSProp,AdaGrad,0.0,1.0,***
Rosenbrock,GD_fixed,Adam,0.0,1.0,***
Rosenbrock,GD_fixed,RMSProp,5.6370767691929096e-27,-0.4500000476837158,***
Rosenbrock,GD_fixed,AdaGrad,0.0,1.0,***
Rosenbrock,Adam,RMSProp,0.0,-1.0,***
Rosenbrock,Adam,AdaGrad,1.0,0.0,ns
Rosenbrock,RMSProp,AdaGrad,0.0,1.0,***
Ackley_2D,GD_fixed,Adam,3.834754813737556e-37,0.5950000286102295,***
Ackley_2D,GD_fixed,RMSProp,0.0,-1.0,***
Ackley_2D,GD_fixed,AdaGrad,3.834754813737556e-37,0.5950000286102295,***
Ackley_2D,Adam,RMSProp,0.0,-1.0,***
Ackley_2D,Adam,AdaGrad,1.0,0.0,ns
Ackley_2D,RMSProp,AdaGrad,0.0,1.0,***
Rastrigin,GD_fixed,Adam,0.0,1.0,***
Rastrigin,GD_fixed,RMSProp,0.013780738227069378,-0.029999971389770508,*
Rastrigin,GD_fixed,AdaGrad,0.0,1.0,***
Rastrigin,Adam,RMSProp,0.0,-1.0,***
Rastrigin,Adam,AdaGrad,1.0,0.0,ns
Rastrigin,RMSProp,AdaGrad,0.0,1.0,***
Levy,GD_fixed,Adam,7.608204662648642e-35,-0.559999942779541,***
Levy,GD_fixed,RMSProp,0.0,-1.0,***
Levy,GD_fixed,AdaGrad,1.0,0.0,ns
Levy,Adam,RMSProp,0.0,-1.0,***
Levy,Adam,AdaGrad,7.608204662648642e-35,0.5600000023841858,***
Levy,RMSProp,AdaGrad,0.0,1.0,***
